country,region,happiness_rank,happiness_score,economy_(gdp_per_capita),family,health_(life_expectancy),freedom,trust_(government_corruption),generosity,dystopia_residual,year
Afghanistan,Southern Asia,153,3.575,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,1.9521,2015
Afghanistan,Southern Asia,154,3.36,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268,2.14558,2016
Afghanistan,Southern Asia,141,3.79399991035461,0.401477217674255,0.581543326377869,0.180746778845787,0.106179520487785,0.0611578300595284,0.311870932579041,2.15080118179321,2017
Afghanistan,Southern Asia,145,3.631500005722046,0.3318142592906952,0.5371913313865662,0.2547715604305267,0.0845517739653587,0.0362676978111267,0.1910039186477661,2.195918321609497,2018
Afghanistan,Southern Asia,154,3.2032999992370605,0.3496309220790863,0.5170032382011414,0.3606162667274475,0.0,0.0248752124607563,0.1581514179706573,1.7930601835250854,2019
Afghanistan,Southern Asia,153,2.56690001487732,0.300705850124359,0.356433838605881,0.266051530838013,0.0,0.0012257853522896,0.135234713554382,1.50723564624786,2020
Afghanistan,Southern Asia,149,2.52290010452271,0.37011992931366,0.0,0.12644000351429,0.0,0.0095690926536917,0.121641151607037,1.89514088630676,2021
Afghanistan,Southern Asia,146,2.40380001068115,0.757993757724762,0.0,0.288626044988632,0.0,0.0048816669732332,0.0888728052377701,1.26340305805206,2022
Afghanistan,Southern Asia,137,1.8589999675750728,0.6445997953414917,0.0,0.086704283952713,0.0,0.0586440935730934,0.0929649621248245,0.976064920425415,2023
Albania,Central and Eastern Europe,95,4.959,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,1.89894,2015
Albania,Central and Eastern Europe,109,4.655,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.92816,2016
Albania,Central and Eastern Europe,109,4.64400005340576,0.996192753314972,0.803685247898102,0.731159746646881,0.381498634815216,0.0398642159998417,0.201312944293022,1.49044156074524,2017
Albania,Central and Eastern Europe,112,4.585999965667725,0.9157823324203492,0.8174046874046326,0.7903871536254883,0.4186693429946899,0.0324355699121952,0.1492127329111099,1.4621477127075195,2018
Albania,Central and Eastern Europe,107,4.718599796295166,0.94710111618042,0.8476807475090027,0.8742084503173828,0.3833390176296234,0.0270839482545852,0.1781588941812515,1.4610018730163574,2019
Albania,Central and Eastern Europe,105,4.88269996643066,0.906653046607971,0.830483913421631,0.846329629421234,0.46194589138031,0.0253612846136093,0.171027764678001,1.64089703559875,2020
Albania,Central and Eastern Europe,93,5.11740016937256,1.00799787044525,0.529002547264099,0.64631974697113,0.490977466106415,0.0244441907852888,0.168454393744469,2.25021910667419,2021
Albania,Central and Eastern Europe,90,5.1988000869751,1.43853402137756,0.645735681056976,0.718950688838959,0.510916233062744,0.0283806268125772,0.138386264443398,1.71790981292725,2022
Albania,Central and Eastern Europe,83,5.277299880981445,1.449203372001648,0.9512205123901368,0.4800824522972107,0.5491721034049988,0.0365266352891922,0.1327116936445236,1.678424596786499,2023
Algeria,Middle East and Northern Africa,68,5.605,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,2.43209,2015
Algeria,Middle East and Northern Africa,38,6.355,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,3.40904,2016
Algeria,Middle East and Northern Africa,53,5.87200021743774,1.09186446666718,1.1462174654007,0.617584645748138,0.233335807919502,0.146096110343933,0.0694366469979286,2.56760382652283,2017
Algeria,Middle East and Northern Africa,84,5.294600009918213,0.978857398033142,1.153656005859375,0.686598539352417,0.0772797837853431,0.1345165818929672,0.0551946423947811,2.2085347175598145,2018
Algeria,Middle East and Northern Africa,88,5.211299896240234,1.00151526927948,1.159618258476257,0.7852815985679626,0.0855325385928154,0.1144277453422546,0.0726418122649192,1.9923069477081297,2019
Algeria,Middle East and Northern Africa,100,5.00509977340698,0.943856000900269,1.14300358295441,0.745418548583984,0.0839437991380692,0.129190653562546,0.118915013968945,1.84081172943115,2020
Algeria,Middle East and Northern Africa,109,4.88710021972656,0.945766627788544,0.764516770839691,0.551997661590576,0.119209297001362,0.11955289542675,0.144275307655334,2.24173736572266,2021
Algeria,Middle East and Northern Africa,96,5.12230014801025,1.36278200149536,0.969617366790772,0.643150448799133,0.145985439419746,0.149846374988556,0.106462612748146,1.74449491500855,2022
Algeria,Middle East and Northern Africa,81,5.329100131988525,1.3533517122268677,1.2980681657791138,0.409218281507492,0.2523039579391479,0.1519797146320343,0.0734545439481735,1.7906951904296875,2023
Angola,Sub-Saharan Africa,137,4.033,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344,1.94939,2015
Angola,Sub-Saharan Africa,141,3.866,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,2.09459,2016
Angola,Sub-Saharan Africa,140,3.79500007629395,0.858428180217743,1.10441195964813,0.0498686656355858,0.0,0.0697203353047371,0.097926490008831,1.61448240280151,2017
Angola,Sub-Saharan Africa,142,3.794800043106079,0.730156660079956,1.1250203847885132,0.2689856290817261,0.0,0.0612761490046978,0.0788681730628013,1.5305309295654297,2018
Argentina,Latin America and Caribbean,30,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836,2015
Argentina,Latin America and Caribbean,26,6.65,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,3.12985,2016
Argentina,Latin America and Caribbean,24,6.59899997711182,1.18529546260834,1.44045114517212,0.695137083530426,0.494519203901291,0.059739887714386,0.109457060694695,2.61400532722473,2017
Argentina,Latin America and Caribbean,29,6.388000011444092,1.0726706981658936,1.4683414697647097,0.7435851693153381,0.5697102546691895,0.0535070784389972,0.0619422122836113,2.418200731277466,2018
Argentina,Latin America and Caribbean,47,6.086299896240234,1.0915156602859497,1.431507587432861,0.8807793259620667,0.4706374406814575,0.0496974252164363,0.0659198015928268,2.096292734146118,2019
Argentina,Latin America and Caribbean,55,5.97469997406006,1.02846562862396,1.37254369258881,0.849773705005646,0.520840346813202,0.0604150593280792,0.0701004713773727,2.07254099845886,2020
Argentina,Latin America and Caribbean,57,5.92929983139038,1.16211807727814,0.979849874973297,0.64634382724762,0.543605089187622,0.0672074928879738,0.0694407746195793,2.46072030067444,2021
Argentina,Latin America and Caribbean,57,5.96700000762939,1.59165561199188,1.10197591781616,0.661976397037506,0.555375695228577,0.0849260315299034,0.0805148184299469,1.89055585861206,2022
Argentina,Latin America and Caribbean,52,6.02370023727417,1.5895475149154663,1.3881741762161257,0.4269517362117767,0.5868987441062927,0.0824252068996429,0.0884210467338562,1.861257076263428,2023
Armenia,Central and Eastern Europe,127,4.35,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873,2015
Armenia,Central and Eastern Europe,121,4.36,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,1.97864,2016
Armenia,Central and Eastern Europe,121,4.37599992752075,0.900596737861633,1.00748372077942,0.637524425983429,0.198303267359734,0.0266744215041399,0.0834880918264389,1.5214991569519,2017
Armenia,Central and Eastern Europe,129,4.3206000328063965,0.816387414932251,0.9902000427246094,0.6661890149116516,0.2600997388362884,0.0276431497186422,0.0770520865917205,1.4829938411712646,2018
Armenia,Central and Eastern Europe,116,4.5594000816345215,0.8501089811325073,1.054939866065979,0.8149282932281494,0.2826251089572906,0.0637953281402587,0.0950329899787902,1.3979957103729248,2019
Armenia,Central and Eastern Europe,116,4.67679977416992,0.808262407779694,1.03457689285278,0.775857269763947,0.378075808286667,0.104618184268475,0.107225738465786,1.46816158294678,2020
Armenia,Central and Eastern Europe,86,5.28259992599487,0.996425986289978,0.757972776889801,0.585085928440094,0.539768517017365,0.197644144296646,0.0786109641194344,2.12705969810486,2021
Armenia,Central and Eastern Europe,82,5.39860010147095,1.43412256240845,0.819904386997223,0.668132901191711,0.557606995105743,0.209901303052902,0.0544901303946972,1.65442228317261,2022
Armenia,Central and Eastern Europe,79,5.341700077056885,1.4661458730697632,1.1339071989059448,0.442997008562088,0.5508717894554138,0.1601970940828323,0.0530974417924881,1.5344746112823486,2023
Australia,Australia and New Zealand,10,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646,2015
Australia,Australia and New Zealand,9,7.313,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2.5465,2016
Australia,Australia and New Zealand,10,7.28399991989136,1.484414935112,1.51004195213318,0.84388679265976,0.601607382297516,0.301183730363846,0.477699249982834,2.06521081924438,2017
Australia,Australia and New Zealand,10,7.27209997177124,1.3399512767791748,1.5725363492965698,0.910444676876068,0.6465258002281189,0.3023518919944763,0.3610048592090606,2.1392364501953125,2018
Australia,Australia and New Zealand,11,7.228000164031982,1.371545433998108,1.547957420349121,1.035531997680664,0.557171642780304,0.2899621725082397,0.3315491676330566,2.0942869186401367,2019
Australia,Australia and New Zealand,12,7.22279977798462,1.31039643287659,1.47714626789093,1.02260768413544,0.621877193450928,0.335996419191361,0.324973613023758,2.1298041343689,2020
Australia,Australia and New Zealand,11,7.18349981307983,1.45348453521729,1.07588040828705,0.800667107105255,0.64723539352417,0.316982120275497,0.291388630867004,2.59785652160645,2021
Australia,Australia and New Zealand,12,7.16209983825684,1.89988851547241,1.20338428020477,0.772303640842438,0.676495969295502,0.341045796871185,0.257609158754349,2.01133155822754,2022
Australia,Australia and New Zealand,12,7.094600200653076,1.8987950086593628,1.4967434406280518,0.5318475961685181,0.6767511963844299,0.3102680742740631,0.2424320876598358,1.9377427101135252,2023
Austria,Western Europe,13,7.2,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332,2015
Austria,Western Europe,12,7.119,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2.69343,2016
Austria,Western Europe,13,7.00600004196167,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.221060365438461,0.316472321748734,2.1385064125061,2017
Austria,Western Europe,12,7.139400005340576,1.3413516283035278,1.5041015148162842,0.8913583755493164,0.6172422170639038,0.2238200008869171,0.2420105934143066,2.3194780349731445,2018
